_id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
617082fa2299cb9f2c2717ac,nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous","tt0050419,tt0072308,tt0031983,tt0053137"
617082fa2299cb9f2c2717ad,nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0083922,tt0069467,tt0050986,tt0050976"
617082fa2299cb9f2c2717ae,nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0034583,tt0038787,tt0038109,tt0036855"
617082fa2299cb9f2c2717af,nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0043265,tt0037382,tt0042593,tt0034583"
617082fa2299cb9f2c2717b0,nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0047296,tt0068646,tt0070849,tt0078788"
617082fa2299cb9f2c2717b1,nm0000009,Richard Burton,1925,1984,"actor,soundtrack,producer","tt0059749,tt0061184,tt0087803,tt0057877"
617082fa2299cb9f2c2717b2,nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0042041,tt0035575,tt0031867,tt0029870"
617082fa2299cb9f2c2717b3,nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,stunts","tt0035896,tt0044706,tt0027996,tt0034167"
617082fa2299cb9f2c2717b4,nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0035140,tt0031210,tt0042192"
617082fa2299cb9f2c2717b5,nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer","tt0078723,tt0080455,tt0072562,tt0077975"
617082fa2299cb9f2c2717b6,nm0000013,Doris Day,1922,2019,"soundtrack,actress,producer","tt0045591,tt0053172,tt0049470,tt0048317"
617082fa2299cb9f2c2717b7,nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,music_department","tt0049189,tt0054452,tt0056404,tt0057345"
617082fa2299cb9f2c2717b8,nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0096320,tt0069946,tt0091763,tt8847712"
617082fa2299cb9f2c2717b9,nm0000015,James Dean,1931,1955,"actor,miscellaneous","tt0043228,tt0048028,tt0048545,tt0049261"
617082fa2299cb9f2c2717ba,nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0021156,tt0051201,tt0055031,tt0052311"
617082fa2299cb9f2c2717bb,nm0000018,Kirk Douglas,1916,2020,"actor,producer,soundtrack","tt0050825,tt0054331,tt0080736,tt0049456"
617082fa2299cb9f2c2717bc,nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0071129,tt0056801,tt0050783,tt0053779"
617082fa2299cb9f2c2717bd,nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0051207,tt0032551,tt0082846,tt0050083"
617082fa2299cb9f2c2717be,nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0036969,tt0035751,tt0034248,tt0032976"
617082fa2299cb9f2c2717bf,nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0031381,tt0026752,tt0023382,tt0025316"
617082fa2299cb9f2c2717c0,nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0032138,tt0047522,tt0055031,tt0037059"
617082fa2299cb9f2c2717c1,nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0082031,tt0117631,tt0071877,tt0045943"
617082fa2299cb9f2c2717c2,nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0117731,tt0119488,tt0112715,tt0077269"
617082fa2299cb9f2c2717c3,nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack","tt0029843,tt0040806,tt0041452,tt0031381"
617082fa2299cb9f2c2717c4,nm0000031,Katharine Hepburn,1907,2003,"actress,soundtrack,writer","tt0043265,tt0032904,tt0082846,tt0063227"
617082fa2299cb9f2c2717c5,nm0000032,Charlton Heston,1923,2008,"actor,director,soundtrack","tt0049833,tt0052618,tt0067525,tt0063442"
617082fa2299cb9f2c2717c6,nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous","tt0110138,tt0077800,tt0074802,tt0102122"
617082fa2299cb9f2c2717c7,nm0000034,William Holden,1918,1981,"actor,soundtrack,miscellaneous","tt0043014,tt0046359,tt0074958,tt0047437"
617082fa2299cb9f2c2717c8,nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0120746,tt0120338,tt0177971,tt0499549"
617082fa2299cb9f2c2717c9,nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0056869,tt0054215,tt0052357,tt0053125"
617082fa2299cb9f2c2717ca,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015163,tt0015324,tt0016332"
617082fa2299cb9f2c2717cb,nm0000038,Grace Kelly,1929,1982,"actress,soundtrack,producer","tt0047396,tt0048728,tt0046912,tt0046874"
617082fa2299cb9f2c2717cc,nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0048728,tt0056923,tt0034248,tt0053125"
