_id,id,titleText,releaseYear,releaseDate
61e57fd65c5338f43c777f4a,tt0000081,"{'text': 'Les haleurs de bateaux', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f4c,tt0000045,"{'text': 'Les blanchisseuses', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f4e,tt0000066,"{'text': 'Dessinateur: Von Bismark', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f50,tt0000049,"{'text': 'Boxing Match; or, Glove Contest', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 1, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f52,tt0000103,"{'text': 'Plus fort que le maître', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f54,tt0000133,"{'text': 'La voiture du potier', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f56,tt0000125,"{'text': 'The Terrible Railway Accident', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f58,tt0000184,"{'text': 'Cripple Creek Bar-Room Scene', '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 5, 'year': 1899, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f5a,tt0000109,"{'text': 'Rip Meeting the Dwarf', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 9, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f5c,tt0000086,"{'text': 'Jetée et plage de Trouville (1er partie)', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f5e,tt0000105,"{'text': 'Les quais à Marseille', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f60,tt0000123,"{'text': 'Séance de prestidigitation', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f62,tt0000148,"{'text': ""Le Coucher d'Yvette"", '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f64,tt0000088,"{'text': 'Jour de marché à Trouville', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd65c5338f43c777f66,tt0000269,"{'text': 'Army Life', '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
